"extra1";"extra2";"ident";"yr";"val";"extra3"
"wd";;"n1";2020;59;
"dw";"qwd";"n1";2021;78;"xx"
"qw";"w";"n1";;88;1
"ddd";"s";"n1";2023;10;"wd"
"w325";"wew";"n1";2024;33;
"wd";;"n2";2020;64;
"dw";"qwd";"n2";2021;66;"xx"
"qw";"w";"n2";2022;58;1
"ddd";"s";"n2";2023;72;"wd"
"w325";"wew";"n2";2024;92;
"wd";;"n3";"2020";;
"dw";"qwd";"n3";"2021";90;"xx"
"qw";"w";"n3";"2022";14;1
"ddd";"s";"n3";;44;"wd"
"w325";"wew";"n3";"2024";98;
"wd";;"n4";;78;
"dw";"qwd";"n4";2021;57;"xx"
"qw";"w";"n4";2022;84;1
"ddd";"s";"n4";2023;40;"wd"
"w325";"wew";"n4";2024;98;
