"RowIDs";"Maßnahme%Kennzahl%Maßeinheit";"Maßnahmen_ID";"Maßnahmen_Bez";"Um was geht es?";"Details";"Kennzahl";"Maßeinheit";"Jahr";"Wert";"Maßnahme%Kennzahl%Maßeinheit%Jahr"
"Row4_?";"A1.1%?%?%A1.1 - keine Kennzahl%na";"A1.1";"Energieleitplan";;;"A1.1 - keine Kennzahl";"na";"2023";0;"""A1.1%?%?%A1.1 - keine Kennzahl%na""%2023"
"Row4_?";"A1.1%?%?%A1.1 - keine Kennzahl%na";"A1.1";"Energieleitplan";;;"A1.1 - keine Kennzahl";"na";"2022";0;"""A1.1%?%?%A1.1 - keine Kennzahl%na""%2022"
"Row4_?";"A1.1%?%?%A1.1 - keine Kennzahl%na";"A1.1";"Energieleitplan";;;"A1.1 - keine Kennzahl";"na";"2021";0;"""A1.1%?%?%A1.1 - keine Kennzahl%na""%2021"
"Row4_?";"A1.1%?%?%A1.1 - keine Kennzahl%na";"A1.1";"Energieleitplan";;;"A1.1 - keine Kennzahl";"na";"2020";0;"""A1.1%?%?%A1.1 - keine Kennzahl%na""%2020"
"Row4_?";"A1.1%?%?%A1.1 - keine Kennzahl%na";"A1.1";"Energieleitplan";;;"A1.1 - keine Kennzahl";"na";"2019";0;"""A1.1%?%?%A1.1 - keine Kennzahl%na""%2019"
"Row4_?";"A1.1%?%?%A1.1 - keine Kennzahl%na";"A1.1";"Energieleitplan";;;"A1.1 - keine Kennzahl";"na";"2018";0;"""A1.1%?%?%A1.1 - keine Kennzahl%na""%2018"
"Row4_?";"A1.1%?%?%A1.1 - keine Kennzahl%na";"A1.1";"Energieleitplan";;;"A1.1 - keine Kennzahl";"na";"2017";0;"""A1.1%?%?%A1.1 - keine Kennzahl%na""%2017"
"Row4_?";"A1.1%?%?%A1.1 - keine Kennzahl%na";"A1.1";"Energieleitplan";;;"A1.1 - keine Kennzahl";"na";"2016";0;"""A1.1%?%?%A1.1 - keine Kennzahl%na""%2016"
"Row4_?";"A1.1%?%?%A1.1 - keine Kennzahl%na";"A1.1";"Energieleitplan";;;"A1.1 - keine Kennzahl";"na";"2015";0;"""A1.1%?%?%A1.1 - keine Kennzahl%na""%2015"
"Row4_?";"A1.1%?%?%A1.1 - keine Kennzahl%na";"A1.1";"Energieleitplan";;;"A1.1 - keine Kennzahl";"na";"2014";0;"""A1.1%?%?%A1.1 - keine Kennzahl%na""%2014"
"Row4_?";"A1.1%?%?%A1.1 - keine Kennzahl%na";"A1.1";"Energieleitplan";;;"A1.1 - keine Kennzahl";"na";"2013";0;"""A1.1%?%?%A1.1 - keine Kennzahl%na""%2013"
"Row4_?";"A1.1%?%?%A1.1 - keine Kennzahl%na";"A1.1";"Energieleitplan";;;"A1.1 - keine Kennzahl";"na";"2012";0;"""A1.1%?%?%A1.1 - keine Kennzahl%na""%2012"
"Row4_?";"A1.1%?%?%A1.1 - keine Kennzahl%na";"A1.1";"Energieleitplan";;;"A1.1 - keine Kennzahl";"na";"2011";0;"""A1.1%?%?%A1.1 - keine Kennzahl%na""%2011"
"Row4_?";"A1.1%?%?%A1.1 - keine Kennzahl%na";"A1.1";"Energieleitplan";;;"A1.1 - keine Kennzahl";"na";"2010";0;"""A1.1%?%?%A1.1 - keine Kennzahl%na""%2010"
"Row5_?";"A1.2%?%?%Spezifische CO2-Emissionen Fernwärme* %g/kWh";"A1.2";"Roadmap für eine Transformation (Defossilisierung) der Wärmeversorgung";;;"Spezifische CO2-Emissionen Fernwärme* ";"g/kWh";"2023";78;"""A1.2%?%?%Spezifische CO2-Emissionen Fernwärme* %g/kWh""%2023"
"Row5_?";"A1.2%?%?%Spezifische CO2-Emissionen Fernwärme* %g/kWh";"A1.2";"Roadmap für eine Transformation (Defossilisierung) der Wärmeversorgung";;;"Spezifische CO2-Emissionen Fernwärme* ";"g/kWh";"2022";81;"""A1.2%?%?%Spezifische CO2-Emissionen Fernwärme* %g/kWh""%2022"
