einwohner,gesamtbruttoleistung,geojson,Watt Peak pro Kopf,SUM(kWp pro Kopf)
15947,11289.243,"{""type"" : ""Polygon"", ""geometry"" : {""type"":""Polygon"",""coordinates"":[[[8.4363098,48.9826235],[8.4609003,48.9822268],[8.4714908,48.9822802],[8.47828,48.9820132],[8.4760912,48.9798616],[8.4757118,48.9789118],[8.4765394,48.9764932],[8.4799681,48.9760926],[8.4870054,48.9744332],[8.486577,48.9727624],[8.4868927,48.9714157],[8.4881552,48.970401],[8.4891654,48.9686576],[8.4894169,48.9663318],[8.4923344,48.9656859],[8.4987115,48.9648276],[8.5046025,48.9648619],[8.5085211,48.9662199],[8.5085305,48.966796],[8.5093123,48.9679467],[8.5137828,48.9684374],[8.5177231,48.9679181],[8.5202666,48.9671413],[8.5235808,48.9665457],[8.5276422,48.9660114],[8.5278858,48.9659384],[8.5271321,48.9649518],[8.5257738,48.9621858],[8.5287918,48.9614926],[8.5358562,48.9611316],[8.5391581,48.9603551],[8.5417299,48.9601038],[8.5393223,48.9569662],[8.5378302,48.9541043],[8.5367311,48.952408],[8.5330408,48.9531059],[8.530482,48.9532503],[8.5274891,48.9528387],[8.5245517,48.9520121],[8.5225802,48.9510944],[8.5200648,48.9495369],[8.5183348,48.9490155],[8.5152055,48.9474045],[8.5147241,48.9464618],[8.5133995,48.945617],[8.5135992,48.9455635],[8.5133297,48.9441444],[8.5128564,48.9435989],[8.5108215,48.9427398],[8.5093849,48.9423796],[8.5035974,48.9426937],[8.5030495,48.9424917],[8.4986461,48.9424727],[8.4986341,48.9421867],[8.492495,48.9415268],[8.4923525,48.9417353],[8.4894691,48.9407329],[8.4890695,48.9417952],[8.4867226,48.9414499],[8.4826644,48.941457],[8.4751926,48.9405418],[8.4674428,48.9404867],[8.4609595,48.9408807],[8.4607208,48.9419906],[8.459959,48.9421316],[8.460753,48.9446807],[8.4550238,48.9448481],[8.4551676,48.9464114],[8.4537043,48.9459356],[8.447279,48.9445828],[8.4469455,48.9441123],[8.4432215,48.9458923],[8.4410793,48.9459622],[8.4392661,48.9462946],[8.4403817,48.9475447],[8.4402226,48.9487536],[8.4406642,48.9491017],[8.4430761,48.9496926],[8.4447323,48.9503197],[8.4451976,48.9507479],[8.4452867,48.9512294],[8.4438825,48.9535169],[8.4445828,48.9552738],[8.4446169,48.9560957],[8.4459316,48.9570536],[8.4470832,48.9605165],[8.4486911,48.9618821],[8.450021,48.9626128],[8.4517862,48.9631015],[8.4508248,48.9643222],[8.4498915,48.9648212],[8.4479711,48.9665304],[8.4463234,48.9672878],[8.4407151,48.9706744],[8.4392509,48.9713493],[8.4379046,48.971609],[8.4369078,48.9744419],[8.4363098,48.9826235]]]}}",707.9226813820782,0.70792268138207813382
9607,6100.362,"{""type"" : ""Polygon"", ""geometry"" : {""type"":""Polygon"",""coordinates"":[[[8.4713775,49.0394644],[8.4719593,49.0394144],[8.4726701,49.03983],[8.474271,49.0419948],[8.4749059,49.0417069],[8.4754572,49.0417708],[8.4753976,49.0433528],[8.4757087,49.0442683],[8.4771165,49.0436771],[8.4780874,49.0470193],[8.4782331,49.0494102],[8.4811253,49.0542931],[8.4799879,49.0547244],[8.4804532,49.0552966],[8.4802638,49.0570492],[8.4807096,49.0577796],[8.4805458,49.0582509],[8.4801888,49.0586358],[8.4790724,49.0589166],[8.4775667,49.0598364],[8.480746,49.0605384],[8.4825305,49.0612934],[8.4843364,49.0597175],[8.4849243,49.0586916],[8.4864279,49.0580765],[8.487733,49.055941],[8.4895997,49.0541822],[8.4911542,49.0513136],[8.4924553,49.0503826],[8.4943261,49.0485438],[8.4971577,49.047057],[8.4977426,49.046938],[8.4998523,49.0449472],[8.5010621,49.0441913],[8.5052826,49.0425276],[8.5051387,49.0423995],[8.5066181,49.0420597],[8.5070405,49.0406026],[8.5075519,49.0400504],[8.5092389,49.0367081],[8.5103519,49.0355053],[8.5120522,49.0346208],[8.5136652,49.0341557],[8.5139565,49.0335429],[8.5165794,49.0317496],[8.5198637,49.0310761],[8.5203428,49.0302584],[8.5204839,49.0292246],[8.5194567,49.0282935],[8.5193798,49.0279458],[8.5202066,49.0272947],[8.5200291,49.0271412],[8.5207792,49.025994],[8.5223336,49.0250269],[8.5222983,49.0229323],[8.5225826,49.0229384],[8.5217735,49.0217806],[8.5216812,49.0206116],[8.5220289,49.0192102],[8.5218314,49.0187729],[8.5191727,49.0189574],[8.517161,49.0184613],[8.5162266,49.0184321],[8.5159138,49.0158385],[8.520234,49.0157122],[8.5211462,49.0153729],[8.5207784,49.014879],[8.5210775,49.0147807],[8.5209715,49.0144217],[8.5187718,49.0124569],[8.5145494,49.011385],[8.5148586,49.0108297],[8.5142981,49.010755],[8.5141668,49.0102667],[8.5138603,49.0102725],[8.5136392,49.0078635],[8.5141714,49.0078961],[8.5138541,49.0059704],[8.5132741,49.0058904],[8.5131337,49.004299],[8.5126304,49.003173],[8.5131363,49.0013807],[8.5112534,48.9986797],[8.5090426,48.9980047],[8.508733,48.9984211],[8.5078563,48.9982461],[8.5025046,48.9963015],[8.5027452,48.9949503],[8.5013105,48.99433],[8.4993364,48.9961622],[8.4974447,48.9964632],[8.497485,48.9982265],[8.495228,48.9983274],[8.4933009,49.0015335],[8.4931666,49.0029373],[8.4962327,49.0028001],[8.4971009,49.0037334],[8.4948102,49.0047379],[8.4921891,49.0055128],[8.4868124,49.0063859],[8.488305,49.0111276],[8.4905305,49.0134201],[8.4826943,49.0131737],[8.4820231,49.0155851],[8.4803408,49.0182558],[8.479833,49.0220775],[8.4742885,49.0239254],[8.4738081,49.0237164],[8.4671553,49.0264135],[8.4713775,49.0394644]]]}}",634.9913604663267,0.63499136046632663683
18005,9849.885,"{""type"" : ""Polygon"", ""geometry"" : {""type"":""Polygon"",""coordinates"":[[[8.2987797,49.0172094],[8.3006397,49.0236911],[8.3024894,49.0342849],[8.304854,49.0416201],[8.3060818,49.0443098],[8.311236,49.0533888],[8.317859,49.0619568],[8.3222344,49.0663514],[8.3296563,49.0725887],[8.338517,49.07876],[8.3406849,49.0804907],[8.3414976,49.0779751],[8.3425764,49.0760943],[8.3464949,49.0720508],[8.3475528,49.0706429],[8.3474738,49.069735],[8.3468239,49.0687282],[8.3455741,49.0674503],[8.3439263,49.0664204],[8.3466605,49.0649689],[8.3615313,49.0479136],[8.3639833,49.0442629],[8.3640337,49.0427331],[8.3631373,49.0409211],[8.3767078,49.0406693],[8.3764297,49.0345899],[8.3759936,49.0293127],[8.375736,49.0286735],[8.3760444,49.0214554],[8.3758853,49.0210868],[8.3746696,49.0211321],[8.3735277,49.0215939],[8.3725914,49.0196455],[8.3714291,49.018606],[8.3709572,49.0187352],[8.3704187,49.0181785],[8.3707101,49.0180705],[8.370547,49.0178189],[8.369909,49.0179557],[8.3689027,49.0170437],[8.3673337,49.017658],[8.3648312,49.0197196],[8.365129,49.0198827],[8.3657035,49.0195754],[8.366418,49.0202018],[8.3657198,49.0205352],[8.3652304,49.0199192],[8.3647141,49.0199255],[8.3642024,49.0189825],[8.3622119,49.016758],[8.3618582,49.0170468],[8.3639274,49.019034],[8.364412,49.0200818],[8.364401,49.0208433],[8.3647087,49.0209639],[8.365463,49.0208321],[8.3656889,49.0226052],[8.3638709,49.0252566],[8.363903,49.0267274],[8.3652914,49.0276023],[8.3648745,49.030677],[8.3660074,49.030697],[8.3660947,49.0304404],[8.367261,49.0303914],[8.3673409,49.0306591],[8.3701326,49.0305369],[8.3701408,49.031068],[8.3697664,49.031066],[8.3696224,49.0308753],[8.3685822,49.0308896],[8.3683102,49.0311054],[8.3661271,49.0312541],[8.3660847,49.0308211],[8.3634818,49.0309308],[8.3635497,49.0326642],[8.3604963,49.0328552],[8.3609483,49.0342747],[8.3590506,49.0347335],[8.3537832,49.0262384],[8.3525089,49.0248595],[8.3487801,49.0219575],[8.3502843,49.0204676],[8.3477596,49.0195849],[8.34911,49.0152354],[8.3470675,49.0154777],[8.3455157,49.0198216],[8.3417569,49.0218419],[8.3384982,49.0231149],[8.338109,49.0243324],[8.3330932,49.0245248],[8.3318363,49.0251033],[8.3307855,49.0245399],[8.3304137,49.022202],[8.3262397,49.0223491],[8.321009,49.0217896],[8.3187235,49.0200334],[8.3223045,49.0197818],[8.325448,49.0184661],[8.3256626,49.0181846],[8.3272183,49.0181283],[8.3275509,49.0192119],[8.3285165,49.0191767],[8.3311075,49.0195848],[8.3315688,49.018452],[8.3282429,49.0178152],[8.3193165,49.0179137],[8.3193004,49.0172277],[8.2987797,49.0172094]]]}}",547.0638711469037,0.54706387114690363788
25461,13840.182,"{""type"" : ""Polygon"", ""geometry"" : {""type"":""Polygon"",""coordinates"":[[[8.2773142,48.9898548],[8.2829014,48.9938454],[8.2876592,48.9983804],[8.2916379,49.0035574],[8.2963604,49.0115454],[8.2987797,49.0172094],[8.3193004,49.0172277],[8.3193165,49.0179137],[8.3282429,49.0178152],[8.3315688,49.018452],[8.3311075,49.0195848],[8.3285165,49.0191767],[8.3275509,49.0192119],[8.3272183,49.0181283],[8.3256626,49.0181846],[8.325448,49.0184661],[8.3223045,49.0197818],[8.3187235,49.0200334],[8.321009,49.0217896],[8.3262397,49.0223491],[8.3304137,49.022202],[8.3307855,49.0245399],[8.3318363,49.0251033],[8.3330932,49.0245248],[8.338109,49.0243324],[8.3384982,49.0231149],[8.3417569,49.0218419],[8.3455157,49.0198216],[8.3470675,49.0154777],[8.34911,49.0152354],[8.3477596,49.0195849],[8.3502843,49.0204676],[8.3516861,49.018837],[8.3526191,49.01727],[8.3523903,49.0140127],[8.3503209,49.0141785],[8.3498237,49.0133634],[8.3485932,49.012452],[8.3444288,49.0113069],[8.3426857,49.0102922],[8.3368807,49.0096208],[8.3358774,49.0090219],[8.3351505,49.0082436],[8.3355818,49.0056877],[8.3368976,49.0044864],[8.3401023,49.003825],[8.3407915,49.0034059],[8.3404503,49.0029921],[8.3412714,49.0025693],[8.3409795,49.0021688],[8.3417657,49.0017494],[8.3421631,49.0020272],[8.3440332,49.0009002],[8.3448561,49.0009682],[8.3511548,48.9991104],[8.3604455,48.9959472],[8.3648595,48.9940069],[8.3684259,48.9918442],[8.3698826,48.9914281],[8.3708171,48.9878921],[8.3683729,48.9874628],[8.3692527,48.9838346],[8.3703702,48.9833578],[8.371372,48.9833643],[8.3714207,48.982933],[8.3707802,48.9825038],[8.3707476,48.9805067],[8.3696494,48.9804689],[8.3697098,48.9795156],[8.3636744,48.9787298],[8.3614557,48.9794191],[8.3595618,48.9788507],[8.3588613,48.9783269],[8.3559231,48.9793032],[8.3491361,48.980612],[8.3429749,48.9824468],[8.3376247,48.9857424],[8.3377546,48.9859484],[8.3361639,48.9866543],[8.3362278,48.9867923],[8.330588,48.9892505],[8.3306304,48.9902991],[8.3297847,48.9919513],[8.3265332,48.9898929],[8.3238296,48.988936],[8.320989,48.9884471],[8.3225918,48.9840496],[8.3200002,48.9839046],[8.3149649,48.9841596],[8.3112544,48.9840526],[8.2992141,48.9909918],[8.2975983,48.9883291],[8.2936969,48.9858463],[8.2810897,48.9830616],[8.2808697,48.9839495],[8.2792469,48.9867195],[8.2790469,48.9877681],[8.2773142,48.9898548]]]}}",543.5835984446801,0.54358359844468009897
29857,12781.372,"{""type"" : ""Polygon"", ""geometry"" : {""type"":""Polygon"",""coordinates"":[[[8.3502843,49.0204676],[8.3487801,49.0219575],[8.3525089,49.0248595],[8.3537832,49.0262384],[8.3590506,49.0347335],[8.3609483,49.0342747],[8.3604963,49.0328552],[8.3635497,49.0326642],[8.3634818,49.0309308],[8.3660847,49.0308211],[8.3661271,49.0312541],[8.3683102,49.0311054],[8.3685822,49.0308896],[8.3696224,49.0308753],[8.3697664,49.031066],[8.3701408,49.031068],[8.3701326,49.0305369],[8.3673409,49.0306591],[8.367261,49.0303914],[8.3660947,49.0304404],[8.3660074,49.030697],[8.3648745,49.030677],[8.3652914,49.0276023],[8.363903,49.0267274],[8.3638709,49.0252566],[8.3656889,49.0226052],[8.365463,49.0208321],[8.3647087,49.0209639],[8.364401,49.0208433],[8.364412,49.0200818],[8.3639274,49.019034],[8.3618582,49.0170468],[8.3622119,49.016758],[8.3642024,49.0189825],[8.3647141,49.0199255],[8.3652304,49.0199192],[8.3657198,49.0205352],[8.366418,49.0202018],[8.3657035,49.0195754],[8.365129,49.0198827],[8.3648312,49.0197196],[8.3673337,49.017658],[8.3689027,49.0170437],[8.3721113,49.0155963],[8.3733324,49.0152678],[8.3748372,49.0152088],[8.3749473,49.0167235],[8.374581,49.0168447],[8.3746718,49.0171276],[8.374993,49.0171243],[8.3751027,49.0199605],[8.3748945,49.020706],[8.3734923,49.0214025],[8.374614,49.0210717],[8.375875,49.020986],[8.3756662,49.0188993],[8.3763746,49.0187868],[8.3763496,49.0177773],[8.3758198,49.0177805],[8.3757949,49.0168485],[8.375375,49.0168605],[8.3752007,49.0150123],[8.3758212,49.0148233],[8.3757221,49.0138768],[8.3754399,49.0136753],[8.3755961,49.0131754],[8.3772238,49.0130538],[8.3772264,49.0128697],[8.3767752,49.0118402],[8.3749618,49.0119082],[8.3747107,49.0106075],[8.3749126,49.0105687],[8.373813,49.008654],[8.373222,49.0083644],[8.3734631,49.008211],[8.3730703,49.0079238],[8.3728246,49.0080468],[8.3722418,49.0074538],[8.3715419,49.0076362],[8.3719026,49.0085713],[8.3713549,49.0087718],[8.3711467,49.0077941],[8.3713796,49.0069955],[8.3691224,49.0057454],[8.3688274,49.0059756],[8.3662844,49.004467],[8.3684617,49.0007171],[8.3723324,48.9978064],[8.3754597,48.9942968],[8.3738314,48.99299],[8.3685976,48.997553],[8.3680992,48.9972952],[8.3690899,48.9946554],[8.3698826,48.9914281],[8.3684259,48.9918442],[8.3648595,48.9940069],[8.3604455,48.9959472],[8.3511548,48.9991104],[8.3448561,49.0009682],[8.3440332,49.0009002],[8.3421631,49.0020272],[8.3417657,49.0017494],[8.3409795,49.0021688],[8.3412714,49.0025693],[8.3404503,49.0029921],[8.3407915,49.0034059],[8.3401023,49.003825],[8.3368976,49.0044864],[8.3355818,49.0056877],[8.3351505,49.0082436],[8.3358774,49.0090219],[8.3368807,49.0096208],[8.3426857,49.0102922],[8.3444288,49.0113069],[8.3485932,49.012452],[8.3498237,49.0133634],[8.3503209,49.0141785],[8.3523903,49.0140127],[8.3526191,49.01727],[8.3516861,49.018837],[8.3502843,49.0204676]]]}}",428.0862779247748,0.42808627792477475969
23940,9637.777,"{""type"" : ""Polygon"", ""geometry"" : {""type"":""Polygon"",""coordinates"":[[[8.3466605,49.0649689],[8.3484767,49.0645236],[8.3508843,49.0645276],[8.352917,49.0648746],[8.3546978,49.0655885],[8.3563355,49.0667974],[8.3569314,49.0680373],[8.3568834,49.0691361],[8.3554016,49.0709859],[8.3579483,49.0711079],[8.3595321,49.070776],[8.360323,49.070292],[8.3617917,49.0698991],[8.3650623,49.070299],[8.3680079,49.0699941],[8.3695846,49.0696321],[8.3704035,49.0691052],[8.3732651,49.0679803],[8.3735991,49.0680073],[8.374295,49.0693382],[8.3939937,49.0688311],[8.394068,49.0681023],[8.3946576,49.0680784],[8.3948018,49.0687574],[8.3951589,49.068652],[8.3948593,49.0675865],[8.3982879,49.0664339],[8.3991818,49.0673554],[8.402238,49.0662878],[8.4027578,49.0666634],[8.4058595,49.0648997],[8.4099102,49.0630816],[8.4074919,49.0629906],[8.4057129,49.0452006],[8.4012684,49.0347517],[8.4010888,49.0300795],[8.3993731,49.0302778],[8.3969164,49.03011],[8.3947402,49.029717],[8.3958652,49.0250635],[8.394813,49.0238578],[8.3940249,49.0223736],[8.390934,49.0207103],[8.3892734,49.019094],[8.3849235,49.0205464],[8.3858644,49.0268172],[8.3846618,49.0269281],[8.3836746,49.0223307],[8.3798743,49.0211622],[8.3760444,49.0214554],[8.375736,49.0286735],[8.3759936,49.0293127],[8.3764297,49.0345899],[8.3767078,49.0406693],[8.3631373,49.0409211],[8.3640337,49.0427331],[8.3639833,49.0442629],[8.3615313,49.0479136],[8.3466605,49.0649689]]]}}",402.580492898914,0.40258049289891395155
29179,11200.481,"{""type"" : ""Polygon"", ""geometry"" : {""type"":""Polygon"",""coordinates"":[[[8.4295216,48.9963758],[8.4305955,48.9970205],[8.4306297,48.9980544],[8.4368638,48.9997596],[8.4441031,48.9991606],[8.4448796,48.9996909],[8.4451841,49.0007466],[8.4462172,49.0006246],[8.4538736,49.0054389],[8.4562005,49.006958],[8.4738081,49.0237164],[8.4742885,49.0239254],[8.479833,49.0220775],[8.4803408,49.0182558],[8.4820231,49.0155851],[8.4826943,49.0131737],[8.4905305,49.0134201],[8.488305,49.0111276],[8.4868124,49.0063859],[8.4921891,49.0055128],[8.4948102,49.0047379],[8.4971009,49.0037334],[8.4962327,49.0028001],[8.4931666,49.0029373],[8.4933009,49.0015335],[8.495228,48.9983274],[8.497485,48.9982265],[8.4974447,48.9964632],[8.4993364,48.9961622],[8.5013105,48.99433],[8.5001954,48.9936576],[8.5002484,48.9923484],[8.5025453,48.9892405],[8.5021423,48.9889315],[8.5029726,48.9865936],[8.5041046,48.985541],[8.5052311,48.9833711],[8.5104471,48.9824199],[8.5080742,48.9804611],[8.5073667,48.9772018],[8.5065128,48.9770528],[8.5057009,48.975508],[8.5069257,48.9749971],[8.5069927,48.9744931],[8.5082646,48.9737572],[8.5089365,48.9719604],[8.5084005,48.9718384],[8.5084036,48.9711785],[8.5085995,48.9708535],[8.5090945,48.9708925],[8.5093123,48.9679467],[8.5085305,48.966796],[8.5085211,48.9662199],[8.5046025,48.9648619],[8.4987115,48.9648276],[8.4923344,48.9656859],[8.4894169,48.9663318],[8.4891654,48.9686576],[8.4881552,48.970401],[8.4868927,48.9714157],[8.486577,48.9727624],[8.4870054,48.9744332],[8.4799681,48.9760926],[8.4765394,48.9764932],[8.4757118,48.9789118],[8.4760912,48.9798616],[8.47828,48.9820132],[8.4714908,48.9822802],[8.4609003,48.9822268],[8.4363098,48.9826235],[8.4357309,48.990379],[8.4363332,48.9924509],[8.4355293,48.9930756],[8.4322929,48.9925931],[8.4288504,48.9946858],[8.4295216,48.9963758]]]}}",383.8541759484561,0.38385417594845608143
19678,7074.555,"{""type"" : ""Polygon"", ""geometry"" : {""type"":""Polygon"",""coordinates"":[[[8.4484066,49.0510084],[8.4494564,49.0501695],[8.4538381,49.047578],[8.4605494,49.0439682],[8.4608227,49.0439314],[8.4609734,49.0450159],[8.4636547,49.0446495],[8.4637395,49.0457188],[8.4661812,49.0453447],[8.4661576,49.0443377],[8.4664845,49.044232],[8.4666003,49.0435976],[8.4663845,49.0431398],[8.4674971,49.0429863],[8.4679008,49.0432493],[8.4681366,49.0428513],[8.4690598,49.0431008],[8.4696931,49.0436637],[8.4700324,49.0433382],[8.4696632,49.042608],[8.4698925,49.0425528],[8.4695298,49.0415026],[8.4696558,49.0408266],[8.4704775,49.0398547],[8.4713775,49.0394644],[8.4671553,49.0264135],[8.4738081,49.0237164],[8.4562005,49.006958],[8.4538736,49.0054389],[8.4498343,49.0057011],[8.4464741,49.0054252],[8.4489099,49.0098303],[8.4486866,49.0117759],[8.4491605,49.0123726],[8.4500433,49.0127709],[8.4505497,49.0142401],[8.4514671,49.0176484],[8.451563,49.0194438],[8.452283,49.0226101],[8.4480986,49.0237609],[8.4480778,49.0257617],[8.4451627,49.0266782],[8.4404601,49.027415],[8.4373588,49.026814],[8.4351607,49.0270505],[8.4296714,49.0271535],[8.4235497,49.0253092],[8.4211625,49.0239085],[8.4184334,49.0257432],[8.4245986,49.0316703],[8.4465446,49.0504847],[8.4484066,49.0510084]]]}}",359.5159569061897,0.35951595690618965342
27382,6601.815,"{""type"" : ""Polygon"", ""geometry"" : {""type"":""Polygon"",""coordinates"":[[[8.3892734,49.019094],[8.390934,49.0207103],[8.3940249,49.0223736],[8.394813,49.0238578],[8.3958652,49.0250635],[8.3947402,49.029717],[8.3969164,49.03011],[8.3993731,49.0302778],[8.4010888,49.0300795],[8.4012684,49.0347517],[8.4057129,49.0452006],[8.4074919,49.0629906],[8.4099102,49.0630816],[8.4128955,49.0663634],[8.4164506,49.0709644],[8.4106738,49.0728439],[8.4114356,49.0813619],[8.4173923,49.0826091],[8.4182758,49.0829771],[8.4234694,49.0906362],[8.4311462,49.0902199],[8.4365573,49.0912638],[8.4280586,49.0706605],[8.4360618,49.0633279],[8.4380064,49.0603198],[8.4414757,49.0565437],[8.4421765,49.0560179],[8.4425324,49.05626],[8.4446061,49.054732],[8.4484066,49.0510084],[8.4465446,49.0504847],[8.4245986,49.0316703],[8.4184334,49.0257432],[8.4211625,49.0239085],[8.4235497,49.0253092],[8.4296714,49.0271535],[8.4351607,49.0270505],[8.4373588,49.026814],[8.4404601,49.027415],[8.4451627,49.0266782],[8.4480778,49.0257617],[8.4480986,49.0237609],[8.452283,49.0226101],[8.451563,49.0194438],[8.4514671,49.0176484],[8.4505497,49.0142401],[8.4492464,49.0136072],[8.4468045,49.0101069],[8.4453278,49.009102],[8.4431704,49.0071036],[8.4437588,49.0069871],[8.4432617,49.0060133],[8.4406323,49.0064044],[8.4372404,49.0050277],[8.433885,49.0055782],[8.4332393,49.0042389],[8.4321178,49.0030192],[8.4295897,49.0037947],[8.4256018,49.0030575],[8.4217148,49.0030235],[8.4179845,49.0035165],[8.4161054,49.0040207],[8.4132007,49.0049326],[8.4135328,49.0055872],[8.411775,49.0059485],[8.4106808,49.0059695],[8.4107423,49.005363],[8.41001,49.005565],[8.4099787,49.0053107],[8.4097168,49.0055705],[8.409872,49.0057793],[8.411621,49.0062024],[8.4109379,49.0066463],[8.4106118,49.0074545],[8.4103138,49.0074895],[8.4108988,49.0087754],[8.4103796,49.0094542],[8.4099175,49.0096996],[8.4091817,49.009643],[8.4080904,49.0105507],[8.4083481,49.0106999],[8.408089,49.0109187],[8.4066889,49.0102727],[8.4063409,49.0106326],[8.406063,49.0105831],[8.4060542,49.0101162],[8.4048432,49.0101211],[8.4048637,49.0099574],[8.4034385,49.0101388],[8.403408,49.009987],[8.4030751,49.0100268],[8.4027854,49.0104262],[8.4020477,49.0105904],[8.4019423,49.0104308],[8.4023225,49.0103338],[8.4021678,49.0101131],[8.4010566,49.0104583],[8.4008535,49.0108681],[8.4000381,49.0110812],[8.4000296,49.0113621],[8.4006996,49.0118264],[8.4000248,49.0123746],[8.4001175,49.0128093],[8.401876,49.0137308],[8.4018438,49.0139086],[8.398114,49.014292],[8.3977448,49.0152347],[8.3926046,49.0161288],[8.3927701,49.0171351],[8.3892702,49.0176164],[8.3892734,49.019094]]]}}",241.1005405010591,0.24110054050105908991
16611,3852.597,"{""type"" : ""Polygon"", ""geometry"" : {""type"":""Polygon"",""coordinates"":[[[8.380707,48.9742296],[8.3835918,48.9804606],[8.3857327,48.9838672],[8.3901319,48.9892918],[8.3929118,48.9900051],[8.3950596,48.991161],[8.3953605,48.9898698],[8.3977174,48.9904645],[8.3988685,48.9902469],[8.4013653,48.98904],[8.4027776,48.9896885],[8.4132756,48.9930875],[8.41366,48.991821],[8.4148912,48.9917943],[8.4152944,48.9919812],[8.4166099,48.9935834],[8.4218911,48.9951436],[8.4291008,48.9966848],[8.4295216,48.9963758],[8.4288504,48.9946858],[8.4322929,48.9925931],[8.4355293,48.9930756],[8.4363332,48.9924509],[8.4357309,48.990379],[8.4363098,48.9826235],[8.4369078,48.9744419],[8.4379046,48.971609],[8.4355379,48.9707934],[8.4260352,48.9667948],[8.4158597,48.9629502],[8.4122612,48.9616953],[8.4093916,48.9609354],[8.4087487,48.9599245],[8.4073439,48.9593646],[8.4063031,48.9591886],[8.4062611,48.9593456],[8.4056512,48.9593456],[8.4054432,48.9602915],[8.3903124,48.9576057],[8.3894885,48.9576057],[8.3902723,48.9624422],[8.3873646,48.9640627],[8.3862051,48.9653767],[8.3834449,48.9672144],[8.3840314,48.9678779],[8.3839212,48.9683705],[8.3848781,48.9696374],[8.3848171,48.9714452],[8.380707,48.9742296]]]}}",231.93046776232617,0.23193046776232616941
