Plausibilität,breitengrad,laengengrad,Bruttoleistung (kWp)
Plausibel,49.007172,8.351837,1809.620
Plausibel,49.013799,8.329064,1386.100
Plausibel,49.015269,8.471784,1135.860
Plausibel,49.002075,8.354297,847.240
Plausibel,49.010639,8.353423,749.760
Plausibel,49.028165,8.350231,732.240
Plausibel,49.008501,8.325657,722.840
Plausibel,49.001857,8.354276,686.000
Plausibel,49.007179,8.351838,618.930
Plausibel,49.026584,8.469378,532.140
Plausibel,49.019815,8.371491,524.690
Plausibel,49.019903,8.473492,479.250
Plausibel,49.019523,8.335092,432.000
Plausibel,48.995960,8.447154,389.380
Plausibel,48.999777,8.369246,378.012
Plausibel,49.022200,8.468538,349.440
Plausibel,49.020186,8.341178,343.460
Plausibel,49.041288,8.323291,322.650
Plausibel,49.038900,8.336480,318.990
Plausibel,49.023341,8.351722,311.304
Plausibel,49.018922,8.330956,302.720
Unplausibel,49.024020,8.462835,298.200
Plausibel,49.024020,8.462835,298.200
Plausibel,49.010071,8.346453,294.980
Plausibel,48.994084,8.439919,287.940
Plausibel,49.007556,8.435096,286.540
Plausibel,49.033457,8.370744,264.880
Plausibel,48.983601,8.375772,262.080
Plausibel,49.065982,8.369379,255.000
Plausibel,49.020000,8.342000,251.680
Plausibel,49.022107,8.350510,250.700
Plausibel,49.021400,8.461861,245.025
Plausibel,49.013884,8.341527,242.690
Plausibel,48.990907,8.374802,240.465
Plausibel,48.996305,8.444721,236.520
Plausibel,49.006363,8.443831,229.680
Plausibel,49.004000,8.456000,229.500
Plausibel,49.020608,8.496113,223.720
Plausibel,48.996421,8.432502,221.175
Plausibel,49.021270,8.436328,217.140
Plausibel,48.996509,8.464052,214.940
Plausibel,49.022721,8.497967,208.740
Unplausibel,49.007458,8.431834,204.845
Plausibel,49.006365,8.443822,199.500
Plausibel,49.023156,8.465249,193.500
Plausibel,49.015137,8.366923,186.945
Plausibel,49.008269,8.416537,185.280
Plausibel,49.018828,8.467404,184.000
Plausibel,49.056880,8.320653,183.600
Plausibel,49.020599,8.386836,179.820
Plausibel,48.997745,8.348522,179.520
Plausibel,49.009493,8.443200,177.540
Plausibel,49.029889,8.470389,175.310
Plausibel,49.014089,8.330476,168.960
Plausibel,49.018991,8.371652,168.750
Plausibel,48.945251,8.489152,165.750
Plausibel,49.020770,8.458129,164.640
Plausibel,49.008896,8.343392,162.000
Plausibel,49.037658,8.329029,160.350
Plausibel,49.031722,8.444089,158.160
Plausibel,49.026005,8.474980,157.250
Plausibel,48.999329,8.428238,152.760
Plausibel,49.009506,8.438750,150.705
Plausibel,49.005073,8.317154,149.280
